ts	perm	script	gates	verify	wall_sec
2026-04-25T18:23:53	0,1,2,7,4,3,5,6	fast	93	OK	0.19
2026-04-25T18:23:53	0,1,2,7,4,3,6,5	fast	108	OK	0.18
2026-04-25T18:23:53	0,1,2,7,4,5,6,3	fast	104	OK	0.18
2026-04-25T18:23:53	0,1,2,7,4,5,3,6	fast	104	OK	0.18
2026-04-25T18:23:53	0,1,2,7,4,6,3,5	fast	112	OK	0.24
2026-04-25T18:23:53	0,1,2,7,4,6,5,3	fast	106	OK	0.23
2026-04-25T18:23:53	0,1,2,7,5,3,4,6	fast	103	OK	0.23
2026-04-25T18:23:53	0,1,2,7,5,3,6,4	fast	116	OK	0.23
2026-04-25T18:23:53	0,1,2,7,5,4,3,6	fast	106	OK	0.18
2026-04-25T18:23:53	0,1,2,7,5,4,6,3	fast	118	OK	0.18
2026-04-25T18:23:54	0,1,2,7,5,6,3,4	fast	113	OK	0.18
2026-04-25T18:23:54	0,1,2,7,5,6,4,3	fast	117	OK	0.19
2026-04-25T18:23:54	0,1,2,7,6,3,4,5	fast	102	OK	0.18
2026-04-25T18:23:54	0,1,2,7,6,3,5,4	fast	113	OK	0.18
2026-04-25T18:23:54	0,1,2,7,6,4,3,5	fast	106	OK	0.20
2026-04-25T18:23:54	0,1,2,7,6,4,5,3	fast	120	OK	0.19
2026-04-25T18:23:54	0,1,2,7,6,5,3,4	fast	106	OK	0.19
2026-04-25T18:23:54	0,1,2,7,6,5,4,3	fast	121	OK	0.18
2026-04-25T18:23:54	0,1,3,2,4,5,6,7	fast	104	OK	0.17
2026-04-25T18:23:54	0,1,3,2,4,5,7,6	fast	98	OK	0.16
2026-04-25T18:23:54	0,1,3,2,4,6,5,7	fast	103	OK	0.18
2026-04-25T18:23:54	0,1,3,2,4,6,7,5	fast	113	OK	0.18
2026-04-25T18:23:54	0,1,3,2,4,7,5,6	fast	94	OK	0.18
2026-04-25T18:23:54	0,1,3,2,4,7,6,5	fast	107	OK	0.18
2026-04-25T18:23:54	0,1,3,2,5,4,6,7	fast	100	OK	0.18
2026-04-25T18:23:54	0,1,3,2,5,4,7,6	fast	102	OK	0.17
2026-04-25T18:23:54	0,1,3,2,5,6,4,7	fast	108	OK	0.18
2026-04-25T18:23:54	0,1,3,2,5,6,7,4	fast	105	OK	0.17
2026-04-25T18:23:55	0,1,3,2,5,7,4,6	fast	107	OK	0.18
2026-04-25T18:23:55	0,1,3,2,5,7,6,4	fast	111	OK	0.18
2026-04-25T18:23:55	0,1,3,2,6,4,5,7	fast	119	OK	0.18
2026-04-25T18:23:55	0,1,3,2,6,4,7,5	fast	109	OK	0.18
2026-04-25T18:23:55	0,1,3,2,6,5,4,7	fast	104	OK	0.18
2026-04-25T18:23:55	0,1,3,2,6,5,7,4	fast	97	OK	0.18
2026-04-25T18:23:55	0,1,3,2,6,7,5,4	fast	95	OK	0.16
2026-04-25T18:23:55	0,1,3,2,6,7,4,5	fast	103	OK	0.17
2026-04-25T18:23:55	0,1,3,2,7,4,5,6	fast	119	OK	0.18
