ts	perm	script	gates	verify	wall_sec
2026-04-25T17:15:27	0,6,7,4,3,2,1,5	fast	113	OK	0.18
2026-04-25T17:15:27	0,6,7,4,3,2,5,1	fast	118	OK	0.19
2026-04-25T17:15:27	0,6,7,4,3,5,1,2	fast	114	OK	0.18
2026-04-25T17:15:27	0,6,7,4,3,5,2,1	fast	121	OK	0.18
2026-04-25T17:15:27	0,6,7,4,5,1,2,3	fast	114	OK	0.19
2026-04-25T17:15:27	0,6,7,4,5,1,3,2	fast	120	OK	0.19
2026-04-25T17:15:28	0,6,7,4,5,2,1,3	fast	117	OK	0.18
2026-04-25T17:15:28	0,6,7,4,5,2,3,1	fast	116	OK	0.18
2026-04-25T17:15:28	0,6,7,4,5,3,1,2	fast	120	OK	0.19
2026-04-25T17:15:28	0,6,7,4,5,3,2,1	fast	112	OK	0.18
2026-04-25T17:15:28	0,6,7,5,1,2,3,4	fast	108	OK	0.20
2026-04-25T17:15:28	0,6,7,5,1,3,2,4	fast	102	OK	0.18
2026-04-25T17:15:28	0,6,7,5,1,2,4,3	fast	102	OK	0.21
2026-04-25T17:15:28	0,6,7,5,1,3,4,2	fast	115	OK	0.19
2026-04-25T17:15:28	0,6,7,5,1,4,2,3	fast	111	OK	0.18
2026-04-25T17:15:28	0,6,7,5,2,1,3,4	fast	113	OK	0.16
2026-04-25T17:15:28	0,6,7,5,1,4,3,2	fast	119	OK	0.17
2026-04-25T17:15:28	0,6,7,5,2,1,4,3	fast	117	OK	0.19
2026-04-25T17:15:28	0,6,7,5,2,4,1,3	fast	107	OK	0.17
2026-04-25T17:15:28	0,6,7,5,2,3,1,4	fast	108	OK	0.17
2026-04-25T17:15:28	0,6,7,5,2,3,4,1	fast	113	OK	0.17
2026-04-25T17:15:28	0,6,7,5,2,4,3,1	fast	122	OK	0.18
2026-04-25T17:15:28	0,6,7,5,3,1,2,4	fast	110	OK	0.18
2026-04-25T17:15:28	0,6,7,5,3,1,4,2	fast	116	OK	0.18
2026-04-25T17:15:28	0,6,7,5,3,2,1,4	fast	107	OK	0.19
2026-04-25T17:15:29	0,6,7,5,3,2,4,1	fast	127	OK	0.19
2026-04-25T17:15:29	0,6,7,5,3,4,2,1	fast	113	OK	0.19
2026-04-25T17:15:29	0,6,7,5,3,4,1,2	fast	116	OK	0.19
2026-04-25T17:15:29	0,6,7,5,4,1,2,3	fast	118	OK	0.21
2026-04-25T17:15:29	0,6,7,5,4,1,3,2	fast	131	OK	0.19
2026-04-25T17:15:29	0,6,7,5,4,2,3,1	fast	105	OK	0.17
2026-04-25T17:15:29	0,6,7,5,4,2,1,3	fast	117	OK	0.18
2026-04-25T17:15:29	0,6,7,5,4,3,1,2	fast	122	OK	0.18
2026-04-25T17:15:29	0,6,7,5,4,3,2,1	fast	111	OK	0.18
2026-04-25T17:15:29	0,7,1,2,3,4,6,5	fast	115	OK	0.18
2026-04-25T17:15:29	0,7,1,2,3,4,5,6	fast	119	OK	0.21
2026-04-25T17:15:29	0,7,1,2,3,5,4,6	fast	111	OK	0.21
2026-04-25T17:15:29	0,7,1,2,3,5,6,4	fast	113	OK	0.18
2026-04-25T17:15:29	0,7,1,2,3,6,5,4	fast	99	OK	0.18
2026-04-25T17:15:29	0,7,1,2,3,6,4,5	fast	112	OK	0.21
2026-04-25T17:15:29	0,7,1,2,4,3,5,6	fast	103	OK	0.17
2026-04-25T17:15:29	0,7,1,2,4,3,6,5	fast	121	OK	0.20
2026-04-25T17:15:30	0,7,1,2,4,5,3,6	fast	97	OK	0.18
2026-04-25T17:15:30	0,7,1,2,4,5,6,3	fast	107	OK	0.21
2026-04-25T17:15:30	0,7,1,2,4,6,3,5	fast	104	OK	0.20
2026-04-25T17:15:30	0,7,1,2,4,6,5,3	fast	107	OK	0.18
2026-04-25T17:15:30	0,7,1,2,5,3,4,6	fast	103	OK	0.18
2026-04-25T17:15:30	0,7,1,2,5,3,6,4	fast	121	OK	0.18
2026-04-25T17:15:30	0,7,1,2,5,4,3,6	fast	100	OK	0.20
2026-04-25T17:15:30	0,7,1,2,5,4,6,3	fast	109	OK	0.20
2026-04-25T17:15:30	0,7,1,2,5,6,3,4	fast	103	OK	0.19
2026-04-25T17:15:30	0,7,1,2,5,6,4,3	fast	106	OK	0.18
2026-04-25T17:15:30	0,7,1,2,6,3,4,5	fast	124	OK	0.20
2026-04-25T17:15:30	0,7,1,2,6,3,5,4	fast	106	OK	0.18
2026-04-25T17:15:30	0,7,1,2,6,4,3,5	fast	106	OK	0.18
2026-04-25T17:15:30	0,7,1,2,6,4,5,3	fast	112	OK	0.21
2026-04-25T17:15:30	0,7,1,2,6,5,3,4	fast	104	OK	0.17
2026-04-25T17:15:30	0,7,1,2,6,5,4,3	fast	107	OK	0.21
2026-04-25T17:15:31	0,7,1,3,2,4,5,6	fast	117	OK	0.22
2026-04-25T17:15:31	0,7,1,3,2,4,6,5	fast	120	OK	0.18
2026-04-25T17:15:31	0,7,1,3,2,5,4,6	fast	117	OK	0.21
2026-04-25T17:15:31	0,7,1,3,2,5,6,4	fast	114	OK	0.18
2026-04-25T17:15:31	0,7,1,3,2,6,4,5	fast	109	OK	0.20
2026-04-25T17:15:31	0,7,1,3,2,6,5,4	fast	105	OK	0.20
2026-04-25T17:15:31	0,7,1,3,4,2,5,6	fast	110	OK	0.18
2026-04-25T17:15:31	0,7,1,3,4,2,6,5	fast	124	OK	0.21
2026-04-25T17:15:31	0,7,1,3,4,5,2,6	fast	103	OK	0.27
2026-04-25T17:15:31	0,7,1,3,4,5,6,2	fast	115	OK	0.26
