ts	name	script	perm	status	gates	wall_sec	blif_path	notes
2026-04-25T16:21:50	ss_(0, 1, 2, 4, 7, 6, 3, 5)	fast	0,0.5,1,2,6,4,1.5,3,-0,-0.5,-1,-2,-6,-4,-1.5,-3	ok	221	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 7, 6, 3, 5).blif	
2026-04-25T16:21:51	ss_(0, 1, 2, 4, 7, 6, 5, 3)	fast	0,0.5,1,2,6,4,3,1.5,-0,-0.5,-1,-2,-6,-4,-3,-1.5	ok	226	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 4, 7, 6, 5, 3).blif	
2026-04-25T16:21:51	ss_(0, 1, 2, 5, 3, 4, 6, 7)	fast	0,0.5,1,3,1.5,2,4,6,-0,-0.5,-1,-3,-1.5,-2,-4,-6	ok	234	0.4	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 3, 4, 6, 7).blif	
2026-04-25T16:21:51	ss_(0, 1, 2, 5, 3, 4, 7, 6)	fast	0,0.5,1,3,1.5,2,6,4,-0,-0.5,-1,-3,-1.5,-2,-6,-4	ok	225	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 3, 4, 7, 6).blif	
2026-04-25T16:21:52	ss_(0, 1, 2, 5, 3, 6, 4, 7)	fast	0,0.5,1,3,1.5,4,2,6,-0,-0.5,-1,-3,-1.5,-4,-2,-6	ok	225	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 3, 6, 4, 7).blif	
2026-04-25T16:21:52	ss_(0, 1, 2, 5, 3, 6, 7, 4)	fast	0,0.5,1,3,1.5,4,6,2,-0,-0.5,-1,-3,-1.5,-4,-6,-2	ok	245	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 3, 6, 7, 4).blif	
2026-04-25T16:21:52	ss_(0, 1, 2, 5, 3, 7, 4, 6)	fast	0,0.5,1,3,1.5,6,2,4,-0,-0.5,-1,-3,-1.5,-6,-2,-4	ok	224	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 3, 7, 4, 6).blif	
2026-04-25T16:21:52	ss_(0, 1, 2, 5, 3, 7, 6, 4)	fast	0,0.5,1,3,1.5,6,4,2,-0,-0.5,-1,-3,-1.5,-6,-4,-2	ok	254	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 3, 7, 6, 4).blif	
2026-04-25T16:21:53	ss_(0, 1, 2, 5, 4, 3, 6, 7)	fast	0,0.5,1,3,2,1.5,4,6,-0,-0.5,-1,-3,-2,-1.5,-4,-6	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 4, 3, 6, 7).blif	
2026-04-25T16:21:53	ss_(0, 1, 2, 5, 4, 3, 7, 6)	fast	0,0.5,1,3,2,1.5,6,4,-0,-0.5,-1,-3,-2,-1.5,-6,-4	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 4, 3, 7, 6).blif	
2026-04-25T16:21:53	ss_(0, 1, 2, 5, 4, 6, 3, 7)	fast	0,0.5,1,3,2,4,1.5,6,-0,-0.5,-1,-3,-2,-4,-1.5,-6	ok	224	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 4, 6, 3, 7).blif	
2026-04-25T16:21:54	ss_(0, 1, 2, 5, 4, 6, 7, 3)	fast	0,0.5,1,3,2,4,6,1.5,-0,-0.5,-1,-3,-2,-4,-6,-1.5	ok	234	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 4, 6, 7, 3).blif	
2026-04-25T16:21:54	ss_(0, 1, 2, 5, 4, 7, 3, 6)	fast	0,0.5,1,3,2,6,1.5,4,-0,-0.5,-1,-3,-2,-6,-1.5,-4	ok	215	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 4, 7, 3, 6).blif	
2026-04-25T16:21:54	ss_(0, 1, 2, 5, 4, 7, 6, 3)	fast	0,0.5,1,3,2,6,4,1.5,-0,-0.5,-1,-3,-2,-6,-4,-1.5	ok	236	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 4, 7, 6, 3).blif	
2026-04-25T16:21:54	ss_(0, 1, 2, 5, 6, 3, 4, 7)	fast	0,0.5,1,3,4,1.5,2,6,-0,-0.5,-1,-3,-4,-1.5,-2,-6	ok	223	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 5, 6, 3, 4, 7).blif	
